Country,SG TOTAL,SG TEE TO GREEN,SG OFF THE TEE,SG APPROACH,SG AROUND THE GREEN,SG PUTTING,Name,Driving Distance,Accuracy,,Country,Name,Distance,,Country,Name,Accuracy
JPN,0.76,0.11,-0.05,-0.18,0.33,0.55,minami katsu,261.63,0.6453,,FRA,perrine delacour,267.19,,USA,sarah schmelzel,0.7249
AUS,0.75,0.16,-0.07,0.06,0.17,0.54,hannah green,257.72,0.7045,,KOR,hye-jin choi,267.13,,THA,moriya jutanugarn,0.7245
SWE,0.74,-0.21,0.11,-0.14,-0.18,0.94,ingrid lindblad,268.07,0.6464,,CHN,xiaowen yin,267.13,,SCO,gemma dryburgh,0.7233
CAN,0.73,0.6,0.6,-0.31,0.31,0.01,brooke m. henderson,265.32,0.7729,,USA,ryann o'toole,267.07,,USA,jennifer kupcho,0.7224
AUS,0.72,0.59,0.29,0.35,-0.05,0.01,stephanie kyriacou,264.04,0.6861,,FRA,pauline roussin-bouchard,267.07,,THA,pajaree anannarukarn,0.7221
AUS,0.69,0.27,0.19,0.04,0.04,-0.05,robyn choi,248.95,0.771,,JPN,akie iwai,266.94,,JPN,mao saigo,0.7217
KOR,0.67,0.56,0.25,0.26,0.05,0.28,sei young kim,259.6,0.6452,,USA,yealimi noh,266.56,,THA,jeeno thitikul,0.7204
USA,0.66,0.42,-0.12,0.18,0.36,0.07,kristen gillman,255.89,0.7426,,CHN,yan liu,266.43,,THA,ariya jutanugarn,0.7192
THA,0.66,0.6,0.17,0.13,0.3,0.07,patty tavatanakit,265.64,0.6323,,THA,jeeno thitikul,266.37,,KOR,jenny shin,0.7184
IRL,0.64,0.03,-0.67,0.38,0.32,0.37,leona maguire,239.99,0.7661,,USA,lauren hartlage,265.89,,KOR,jin hee im,0.7172
KOR,0.64,1.42,0.87,0.95,-0.41,-1.04,ina yoon,274.33,0.6824,,CHN,ruoning yin,265.73,,NZL,lydia ko,0.7151
JPN,0.59,-0.1,-0.18,0.03,0.06,0.47,yuri yoshida,249.71,0.7537,,THA,patty tavatanakit,265.64,,AUS,karis davidson,0.7148
CHN,0.57,-0.25,0.05,-0.43,0.13,0.9,yahui zhang,254.42,0.7512,,KOR,mi hyang lee,265.5,,CHN,muni he,0.7138
SWE,0.56,0.88,0.69,0.32,-0.13,-0.38,linn grant,271.68,0.6951,,AUS,minjee lee,265.4,,KOR,ilhee lee,0.7119
ESP,0.52,-0.35,0.95,-0.29,-1.02,0.76,julia lopez ramirez,285.56,0.6086,,CAN,brooke m. henderson,265.32,,JPN,hinako shibuno,0.7109
